Ver. 2010.09,unit,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia
MA,%,Swansea/Dighton composite RI & MA part of Rehoboth/Taunton ,41.75,-71.21,492,0.010162602,0.073170732,0.046747967,0.056910569,0,0,0.008130081,0.040650407,0.103658537,0,0,0,0.595528455,0.018292683,0.00203252,0,0,0.00203252,0.010162602,0.026422764,0,0.00203252,0.00203252,0
MA,%,RochtrMA,41.7377,-70.8313,113,0,0.088495575,0,0,0,0,0,0.424778761,0.044247788,0,0,0,0.442477876,0,0,0,0,0,0,0,0,0,0,0
MA,%,Sandwich,41.7262,-70.5308,82,0.012195122,0,0,0,0,0,0,0.170731707,0.073170732,0,0,0,0.707317073,0,0,0,0,0,0,0.036585366,0,0,0,0
MA,%,Harwich,41.722,-70.062,85,0,0,0,0,0,0,0,0.364705882,0.023529412,0,0,0,0.576470588,0,0,0,0,0,0.023529412,0.011764706,0,0,0,0
MA,%,Yarmouth,41.6955,-70.1858,548,0,0,0.003649635,0,0,0,0,0.698905109,0.005474453,0,0,0,0.237226277,0,0,0,0,0,0.02189781,0.032846715,0,0,0,0
MA,%,Barnstable,41.6803,-70.3505,261,0,0.011494253,0,0,0,0,0,0.471264368,0.01532567,0,0,0,0.448275862,0,0,0,0,0,0.022988506,0.026819923,0,0,0,0
MA,%,Mattapoisett,41.6747,-70.8257,2245,0.005790646,0.080178174,0.007126949,0.004899777,0,0,0,0.332293987,0.026726058,0.008908686,0,0,0.514922049,0.000445434,0.011581292,0.00311804,0,0,0.002672606,0,0,0,0,0
MA,%,Dartmouth cvc,41.63,-70.99,2062,0.009214355,0.106207565,0.025218235,0.015033948,0.003879728,0,0,0.193986421,0.079049467,0.023278371,0,0,0.498060136,0,0.003394762,0.013579049,0,0.000969932,0.020368574,0,0,0.001939864,0,0
MA,%,FalmthMA,41.5987,-70.5898,156,0,0,0,0,0,0,0,0.269230769,0.115384615,0,0,0,0.58974359,0,0,0,0,0,0,0.006410256,0,0,0,0
MA,%,Edgartown/Tisbury,41.396,-70.5993,68,0,0,0,0,0,0,0,0.161764706,0.058823529,0,0,0,0.764705882,0,0,0,0,0,0,0,0,0,0.014705882,0
MA,%,Nantucket,41.273,-70.05,47,0,0,0,0,0,0,0,0,0.340425532,0,0,0,0.468085106,0,0,0,0,0,0.042553191,0,0,0,0.127659574,0
CT,%,Suffield,42.0008,-72.68917,280,0,0.05,0,0.017857143,0,0,0.017857143,0.107142857,0.060714286,0.003571429,0,0,0.671428571,0.039285714,0.010714286,0.014285714,0,0,0,0,0.003571429,0,0.003571429,0
CT,%,Union composite,41.996,-72.1657,122,0,0.040983607,0.016393443,0.049180328,0.057377049,0,0,0.172131148,0.057377049,0.032786885,0,0,0.418032787,0.139344262,0,0.016393443,0,0,0,0,0,0,0,0
CT,%,SalisbCT,41.9918,-73.428,1603,0.003119152,0.024329382,0.054273238,0.048034934,0.023081722,0.001247661,0.009357455,0.042420462,0.164067374,0.012476606,0,0,0.437305053,0.147223955,0.001871491,0.0205864,0,0.001247661,0,0,0.007485964,0,0.00062383,0
CT,%,Stafford,41.9872,-72.3045,714,0,0.051820728,0.019607843,0.033613445,0.016806723,0,0.007002801,0.042016807,0.040616246,0,0,0,0.676470588,0.086834734,0,0.019607843,0,0.00280112,0,0.00280112,0,0,0,0
CT,%,Colebrook,41.9828,-73.0828,180,0.461111111,0.116666667,0.066666667,0.022222222,0.272222222,0.011111111,0.005555556,0,0,0,0,0,0.016666667,0.011111111,0.011111111,0,0,0,0,0,0.005555556,0,0,0
CT,%,CananCT,41.9793,-73.3112,1698,0,0.001177856,0.01590106,0.038869258,0.102473498,0.026501767,0,0.098939929,0.104829211,0.000588928,0,0,0.42343934,0.121319199,0.034157833,0.017667845,0,0.000588928,0,0,0.008244994,0,0.001177856,0
CT,%,Enfield,41.979,-72.559,343,0,0.011661808,0.002915452,0.026239067,0.005830904,0,0.017492711,0.253644315,0.008746356,0.002915452,0,0,0.647230321,0.023323615,0,0,0,0,0,0,0,0,0,0
CT,%,WoodskCT,41.9772,-72.02967,250,0.004,0.024,0.024,0.028,0.028,0,0,0.024,0.1,0.004,0,0,0.676,0.048,0.008,0.028,0,0,0,0.004,0,0,0,0
CT,%,Norfolk,41.9757,-73.1973,1175,0.403404255,0.100425532,0.073191489,0.035744681,0.250212766,0.012765957,0.000851064,0.017021277,0.006808511,0.005106383,0.002553191,0,0.036595745,0.041702128,0.010212766,0.000851064,0,0.002553191,0,0,0,0,0,0
RI,%,Glocester,41.93,-71.69,163,0,0.012269939,0,0.012269939,0.012269939,0,0,0.042944785,0.09202454,0,0,0,0.760736196,0.049079755,0,0.006134969,0,0,0,0.012269939,0,0,0,0
CT,%,Barkhamsted,41.9293,-72.9633,94,0.329787234,0.085106383,0.031914894,0.042553191,0.382978723,0,0,0.021276596,0,0,0,0,0.074468085,0.021276596,0,0.010638298,0,0,0,0,0,0,0,0
CT,%,KilglyCT,41.91,-71.86,1164,0,0.012027491,0.010309278,0.006013746,0.005154639,0,0.003436426,0.099656357,0.035223368,0,0,0,0.797250859,0.024914089,0,0.004295533,0,0.000859107,0.000859107,0,0,0,0,0
CT,%,Willington,41.8997,-72.2582,532,0,0.028195489,0.02443609,0.04887218,0.02443609,0.003759398,0.005639098,0.005639098,0.046992481,0,0,0,0.69924812,0.071428571,0,0.020676692,0,0.005639098,0.003759398,0.009398496,0,0,0,0
CT,%,Ashford,41.8922,-72.1412,429,0,0.013986014,0.020979021,0.027972028,0.013986014,0.009324009,0,0.009324009,0.065268065,0,0,0,0.731934732,0.079254079,0.011655012,0.013986014,0,0,0.002331002,0,0,0,0,0
CT,%,Tolland,41.8813,-72.3727,385,0,0.01038961,0.007792208,0.018181818,0.002597403,0,0.005194805,0.031168831,0.096103896,0,0,0,0.72987013,0.077922078,0,0.020779221,0,0,0,0,0,0,0,0
CT,%,Pomfret,41.873,-71.9985,156,0,0.019230769,0.012820513,0.025641026,0,0,0.006410256,0.064102564,0.070512821,0,0,0,0.711538462,0.051282051,0,0,0,0,0,0,0,0,0.006410256,0
RI,%,"Cumberland, Pawtucket, E.Providen",41.87,-71.36,3096,0.014211886,0.088178295,0.022609819,0.028100775,0,0,0.009689922,0.019379845,0.078165375,0.002583979,0,0,0.6624677,0.035852713,0.000968992,0.010335917,0,0.000645995,0.006136951,0.017118863,0,0,0,0
CT,%,Simsbury,41.87,-72.86,534,0.007490637,0.031835206,0.003745318,0.016853933,0,0.001872659,0.011235955,0.146067416,0.102996255,0.020599251,0,0,0.558052434,0.071161049,0.009363296,0.009363296,0,0,0,0.001872659,0.003745318,0,0,0
CT,%,East Windsor ,41.87,-72.57,77,0,0.025974026,0.012987013,0.012987013,0,0,0.012987013,0.038961039,0.064935065,0.025974026,0,0,0.623376623,0.090909091,0,0.090909091,0,0,0,0,0,0,0,0
CT,%,CornwlCT,41.86,-73.3373,605,0.016528926,0.051239669,0.062809917,0.069421488,0.061157025,0.016528926,0.00661157,0.046280992,0.105785124,0,0,0,0.416528926,0.112396694,0.00661157,0.009917355,0,0.003305785,0,0,0.011570248,0,0,0
CT,%,SharonCT,41.8563,-73.448,1328,0.006024096,0.024096386,0.030873494,0.050451807,0.006777108,0.005271084,0.009036145,0.004518072,0.148343373,0.002259036,0,0,0.547439759,0.139307229,0.000753012,0.010542169,0.003012048,0.000753012,0,0,0.00376506,0,0.002259036,0
CT,%,New Hartford,41.8512,-73.0012,136,0.029411765,0.036764706,0.044117647,0.014705882,0.073529412,0.007352941,0,0.014705882,0.051470588,0,0,0,0.566176471,0.125,0,0.014705882,0,0,0,0,0.014705882,0,0.007352941,0
CT,%,GoshenCT,41.8465,-73.2297,1180,0.247457627,0.126271186,0.087288136,0.061016949,0.13220339,0.015254237,0.004237288,0.016949153,0.016949153,0.034745763,0,0,0.099152542,0.122033898,0.01440678,0.007627119,0,0.001694915,0,0,0.010169492,0,0.002542373,0
CT,%,Torrington,41.8303,-73.1137,59,0.084745763,0.118644068,0.084745763,0.101694915,0.13559322,0,0.016949153,0,0.06779661,0.016949153,0,0,0.237288136,0.101694915,0.016949153,0,0,0,0,0,0.016949153,0,0,0
CT,%,BoltonCT,41.81,-72.45,445,0.008988764,0.008988764,0.020224719,0.008988764,0,0,0.002247191,0.071910112,0.137078652,0,0,0,0.573033708,0.134831461,0.002247191,0.017977528,0,0,0.008988764,0.002247191,0,0,0,0
RI,%,Providence composite,41.8,-71.48,1879,0.000532198,0.045769026,0.008515168,0.011176158,0.000532198,0,0.006386376,0.086216072,0.067056945,0.000532198,0,0,0.700372539,0.063331559,0.000532198,0.00532198,0,0,0.001064396,0,0,0,0,0
RI,%,Scituate,41.79,-71.67,186,0,0.02688172,0.010752688,0.005376344,0,0,0.010752688,0.059139785,0.086021505,0,0,0,0.741935484,0.048387097,0,0.005376344,0,0,0,0.005376344,0,0,0,0
