Ver. 2010.09,,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia,Other
NY,%,T14R2&3 P&G combi,43.24,-77.25,493,47.06%,10.34%,4.87%,1.83%,24.54%,5.27%,4.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.81%,0.00%,0.00%,0.00%,0.00%,0.41%,0.00%,0.00%,0.00%
NY,%,Fish Creek,43.235,-75.662,165,39.39%,13.94%,8.48%,3.03%,12.73%,1.21%,3.64%,1.21%,1.21%,4.85%,0.00%,0.00%,0.00%,0.00%,3.03%,0.00%,0.00%,0.00%,0.00%,0.61%,1.82%,4.24%,0.00%,0.00%,0.61%
NY,%,Tri- Parma Gore,43.23,-77.84,147,58.50%,10.20%,0.00%,4.76%,3.40%,6.80%,4.76%,0.00%,0.68%,0.00%,0.00%,0.00%,3.40%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.36%,4.76%,0.00%,0.00%
NY,%,Lysander,43.212167,-76.371667,99,33.33%,23.23%,4.04%,12.12%,13.13%,1.01%,3.03%,0.00%,4.04%,0.00%,0.00%,0.00%,1.01%,2.02%,1.01%,2.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Cato,43.21,-76.56,142,54.23%,23.24%,2.82%,4.93%,5.63%,4.23%,2.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.41%
NY,%,Cicero,43.19,-76.14,167,35.33%,12.57%,5.99%,10.18%,13.77%,4.19%,4.79%,4.79%,2.40%,0.00%,0.00%,0.00%,2.40%,0.00%,0.60%,0.00%,1.80%,0.00%,0.00%,0.00%,0.60%,0.60%,0.00%,0.00%,0.00%
NY,%,"Kay North (Allots 17W, 22, 24)",43.18,-73.87,116,43.97%,10.34%,3.45%,1.72%,23.28%,3.45%,0.00%,0.86%,0.00%,0.00%,0.00%,0.00%,8.62%,4.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,"Kay NE River (Allots 18, 19, 20, 10)",43.18,-73.64,170,5.29%,7.06%,1.76%,4.12%,8.24%,1.18%,4.12%,35.29%,2.94%,0.00%,0.00%,0.00%,21.18%,1.76%,0.59%,1.18%,0.00%,1.18%,0.00%,0.00%,4.12%,0.00%,0.00%,0.00%,0.00%
NY,%,Oriskany Patent combi,43.18,-75.32,189,44.44%,17.46%,5.29%,3.70%,14.29%,3.70%,1.59%,1.59%,0.53%,0.00%,0.00%,1.59%,0.00%,0.00%,1.06%,0.53%,0.53%,0.00%,0.00%,0.00%,2.12%,1.59%,0.00%,0.00%,0.00%
NY,%,"Salem (Turner Patent, New Perth)",43.1629,-73.3177,162,45.06%,11.11%,8.64%,1.85%,0.00%,3.09%,3.70%,4.94%,3.09%,0.00%,0.00%,0.00%,5.56%,0.00%,9.88%,0.62%,0.00%,1.23%,0.00%,0.00%,0.62%,0.62%,0.00%,0.00%,0.00%
NY,%,T13R2&3 P&G combi,43.16,-77.25,311,51.77%,21.54%,0.64%,11.25%,7.07%,1.29%,3.86%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.96%,0.00%,1.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Gage's & Cosby's Patent,43.15,-75.17,91,32.97%,30.77%,6.59%,0.00%,16.48%,6.59%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,4.40%,0.00%,0.00%,0.00%,0.00%
NY,%,Geny Mth-T13R7 (Rochester),43.15,-77.61,282,20.92%,8.51%,1.42%,9.93%,2.48%,8.16%,4.61%,7.09%,3.55%,0.00%,0.00%,0.00%,20.57%,7.45%,1.77%,1.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.06%,0.00%,0.71%
NY,%,1st Pagan Purchase,43.148,-75.6205,132,30.30%,10.61%,15.91%,9.09%,21.21%,3.03%,3.03%,0.76%,0.00%,0.00%,0.00%,0.00%,2.27%,0.00%,1.52%,0.00%,0.00%,0.00%,0.00%,0.76%,0.00%,1.52%,0.00%,0.00%,0.00%
NY,%,Oneida NW Res. ,43.1443,-75.9147,259,15.83%,15.06%,4.25%,17.37%,20.46%,4.25%,3.47%,1.16%,2.70%,0.39%,0.00%,1.93%,6.56%,0.77%,0.39%,0.00%,0.77%,0.00%,0.00%,0.39%,2.70%,0.39%,0.00%,0.00%,1.16%
NY,%,HLC-T13RIX,43.11,-78.96,69,31.88%,15.94%,0.00%,5.80%,0.00%,14.49%,8.70%,0.00%,2.90%,0.00%,0.00%,0.00%,13.04%,0.00%,0.00%,4.35%,0.00%,1.45%,0.00%,0.00%,0.00%,1.45%,0.00%,0.00%,0.00%
NY,%,Galen,43.1,-76.86,105,40.95%,15.24%,1.90%,14.29%,7.62%,6.67%,4.76%,0.00%,2.86%,0.00%,0.00%,0.00%,3.81%,0.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.00%,0.00%,0.00%
NY,%,Onond. Salt Springs,43.0985,-76.2203,402,8.71%,6.72%,1.24%,10.20%,11.44%,4.48%,4.98%,6.22%,3.23%,0.00%,0.00%,6.22%,24.63%,5.72%,0.75%,1.00%,0.25%,0.25%,0.00%,0.00%,1.00%,1.00%,0.75%,0.00%,1.24%
NY,%,Oneida Castle,43.0957,-75.675,421,29.69%,15.44%,5.46%,9.50%,15.91%,6.18%,5.23%,0.48%,1.90%,0.00%,0.00%,1.66%,1.90%,0.00%,2.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.95%,1.43%,0.48%,0.00%,0.95%
NY,%,HLC-T13R!,43.09,-78.18,151,27.81%,26.49%,0.00%,13.91%,1.32%,11.26%,5.96%,0.00%,0.00%,0.00%,0.00%,2.65%,0.00%,0.00%,0.66%,0.00%,9.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%
NY,%,HLC-T13RIII,43.09,-78.33,162,28.40%,16.67%,0.62%,12.35%,8.64%,6.17%,8.02%,0.62%,3.70%,1.85%,0.00%,1.85%,9.26%,0.00%,0.62%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,HLC-T13RV,43.09,-78.54,367,23.98%,22.07%,1.36%,15.26%,4.63%,7.08%,8.45%,0.00%,3.81%,0.00%,0.00%,0.00%,8.99%,0.00%,1.91%,0.27%,0.82%,0.00%,0.00%,0.54%,0.54%,0.00%,0.00%,0.27%,0.00%
NY,%,HLC-T13RVII,43.09,-78.77,265,20.75%,19.25%,1.51%,23.77%,0.38%,8.30%,11.32%,0.00%,2.26%,0.00%,0.00%,0.00%,9.06%,0.38%,0.75%,0.00%,0.00%,0.00%,0.00%,0.38%,0.38%,1.51%,0.00%,0.00%,0.00%
