      Lon      Lat    Year  FireRT
   -72.75    44.75    1971   420.4
   -72.75    44.75    1972  1000.0
   -72.75    44.75    1973  1000.0
   -72.75    44.75    1974  1000.0
   -72.75    44.75    1975   227.7
   -72.75    44.75    1976  1000.0
   -72.75    44.75    1977   366.3
   -72.75    44.75    1978   849.9
   -72.75    44.75    1979   161.7
   -72.75    44.75    1980   401.0
   -72.75    44.75    1981  1000.0
   -72.75    44.75    1982   245.4
   -72.75    44.75    1983   217.5
   -72.75    44.75    1984   934.3
   -72.75    44.75    1985   360.7
   -72.75    44.75    1986  1000.0
   -72.75    44.75    1987   834.1
   -72.75    44.75    1988   595.9
   -72.75    44.75    1989   390.7
   -72.75    44.75    1990   926.9
   -72.75    44.75    1991   134.1
   -72.75    44.75    1992   179.5
   -72.75    44.75    1993   796.2
   -72.75    44.75    1994   849.5
   -72.75    44.75    1995   162.2
   -72.75    44.75    1996   537.5
   -72.75    44.75    1997   610.6
   -72.75    44.75    1998   399.2
   -72.75    44.75    1999   341.4
   -72.75    44.75    2000   911.5
   -72.75    44.75    2001   156.2
   -72.75    44.75    2002   239.5
   -72.75    44.75    2003   602.6
   -72.75    44.75    2004   683.7
   -72.75    44.75    2005   414.9
   -72.75    44.75    2006   681.8
   -72.75    44.75    2007   524.1
   -72.75    44.75    2008   214.5
   -72.75    44.75    2009   512.4
   -72.75    44.75    2010   319.9
   -72.75    44.75    2011   934.6
   -72.75    44.75    2012   458.6
   -72.75    44.75    2013   902.3
   -72.75    44.75    2014   471.9
   -73.75    45.25    1901   342.0
   -73.75    45.25    1902   830.6
   -73.75    45.25    1903   125.4
   -73.75    45.25    1904   188.7
   -73.75    45.25    1905   123.8
   -73.75    45.25    1906   126.4
   -73.75    45.25    1907   144.8
   -73.75    45.25    1908   114.0
   -73.75    45.25    1909   130.3
   -73.75    45.25    1910   422.0
   -73.75    45.25    1911   136.3
   -73.75    45.25    1912   124.7
   -73.75    45.25    1913   117.3
   -73.75    45.25    1914   118.9
   -73.75    45.25    1915   107.6
   -73.75    45.25    1916   198.4
   -73.75    45.25    1917   834.8
   -73.75    45.25    1918   335.4
   -73.75    45.25    1919   126.1
   -73.75    45.25    1920   126.3
   -73.75    45.25    1921   103.8
   -73.75    45.25    1922   476.4
   -73.75    45.25    1923   470.7
   -73.75    45.25    1924   181.0
   -73.75    45.25    1925   128.5
   -73.75    45.25    1926   193.3
   -73.75    45.25    1927   300.7
   -73.75    45.25    1928   222.7
   -73.75    45.25    1929   474.1
   -73.75    45.25    1930   377.7
   -73.75    45.25    1931   299.5
   -73.75    45.25    1932   293.4
   -73.75    45.25    1933   158.0
   -73.75    45.25    1934   296.1
   -73.75    45.25    1935   307.7
   -73.75    45.25    1936   131.9
   -73.75    45.25    1937   374.5
   -73.75    45.25    1938   127.6
   -73.75    45.25    1939   321.2
   -73.75    45.25    1940   171.9
   -73.75    45.25    1941   121.8
   -73.75    45.25    1942   124.5
   -73.75    45.25    1943   575.7
   -73.75    45.25    1944   117.7
   -73.75    45.25    1945   605.3
   -73.75    45.25    1946   125.0
   -73.75    45.25    1947   279.9
   -73.75    45.25    1948   134.1
   -73.75    45.25    1949   125.5
   -73.75    45.25    1950   362.7
   -73.75    45.25    1951   258.0
   -73.75    45.25    1952   729.6
   -73.75    45.25    1953   159.7
   -73.75    45.25    1954   746.8
   -73.75    45.25    1955   302.4
   -73.75    45.25    1956   583.1
   -73.75    45.25    1957   199.6
   -73.75    45.25    1958   820.4
   -73.75    45.25    1959   267.0
   -73.75    45.25    1960   140.1
   -73.75    45.25    1961   826.5
   -73.75    45.25    1962   161.5
   -73.75    45.25    1963   312.0
   -73.75    45.25    1964   129.6
   -73.75    45.25    1965   129.8
   -73.75    45.25    1966   170.9
   -73.75    45.25    1967   233.0
   -73.75    45.25    1968   413.9
   -73.75    45.25    1969  1000.0
   -73.75    45.25    1970   309.9
   -73.75    45.25    1971   152.9
   -73.75    45.25    1972  1000.0
   -73.75    45.25    1973   326.1
   -73.75    45.25    1974   669.9
   -73.75    45.25    1975   185.4
   -73.75    45.25    1976   827.8
   -73.75    45.25    1977   320.3
   -73.75    45.25    1978   825.3
   -73.75    45.25    1979   293.7
   -73.75    45.25    1980   245.6
   -73.75    45.25    1981  1000.0
   -73.75    45.25    1982   328.6
   -73.75    45.25    1983   296.4
   -73.75    45.25    1984   569.0
   -73.75    45.25    1985   354.6
   -73.75    45.25    1986   773.4
   -73.75    45.25    1987   402.4
   -73.75    45.25    1988   457.6
   -73.75    45.25    1989   362.5
   -73.75    45.25    1990   830.9
   -73.75    45.25    1991   154.6
   -73.75    45.25    1992   424.9
   -73.75    45.25    1993   334.4
   -73.75    45.25    1994   534.6
   -73.75    45.25    1995   125.8
   -73.75    45.25    1996   152.5
   -73.75    45.25    1997   867.5
   -73.75    45.25    1998   203.1
   -73.75    45.25    1999   189.0
   -73.75    45.25    2000   315.8
   -73.75    45.25    2001   123.1
   -73.75    45.25    2002   147.7
   -73.75    45.25    2003   295.3
   -73.75    45.25    2004  1000.0
   -73.75    45.25    2005   308.8
   -73.75    45.25    2006   280.1
   -73.75    45.25    2007   171.7
   -73.75    45.25    2008   507.9
   -73.75    45.25    2009   315.1
   -73.75    45.25    2010   297.8
   -73.75    45.25    2011   617.0
   -73.75    45.25    2012   337.6
   -73.75    45.25    2013   949.1
   -73.75    45.25    2014   342.4
   -67.25    47.75    1901   763.0
   -67.25    47.75    1902  1000.0
   -67.25    47.75    1903   704.3
   -67.25    47.75    1904   614.6
   -67.25    47.75    1905   517.5
   -67.25    47.75    1906   315.8
   -67.25    47.75    1907  1000.0
   -67.25    47.75    1908   512.4
   -67.25    47.75    1909   777.0
   -67.25    47.75    1910   549.2
   -67.25    47.75    1911   497.6
   -67.25    47.75    1912   699.0
   -67.25    47.75    1913   178.0
   -67.25    47.75    1914   158.0
   -67.25    47.75    1915   153.0
   -67.25    47.75    1916   123.4
   -67.25    47.75    1917   813.8
   -67.25    47.75    1918   898.4
   -67.25    47.75    1919   154.7
   -67.25    47.75    1920  1000.0
   -67.25    47.75    1921   127.6
   -67.25    47.75    1922   386.8
   -67.25    47.75    1923   501.8
   -67.25    47.75    1924   428.6
   -67.25    47.75    1925   464.9
   -67.25    47.75    1926   270.2
   -67.25    47.75    1927   497.3
   -67.25    47.75    1928   518.8
   -67.25    47.75    1929  1000.0
   -67.25    47.75    1930  1000.0
   -67.25    47.75    1931   356.9
   -67.25    47.75    1932   840.7
   -67.25    47.75    1933   795.4
   -67.25    47.75    1934   160.0
   -67.25    47.75    1935   558.9
   -67.25    47.75    1936   319.0
   -67.25    47.75    1937   553.8
   -67.25    47.75    1938   679.2
   -67.25    47.75    1939  1000.0
   -67.25    47.75    1940   125.9
   -67.25    47.75    1941   261.1
   -67.25    47.75    1942   193.7
   -67.25    47.75    1943   827.8
   -67.25    47.75    1944   192.1
   -67.25    47.75    1945  1000.0
   -67.25    47.75    1946   337.3
   -67.25    47.75    1947   246.6
   -67.25    47.75    1948   310.6
   -67.25    47.75    1949   209.4
   -67.25    47.75    1950   330.3
   -67.25    47.75    1951  1000.0
   -67.25    47.75    1952   427.2
   -67.25    47.75    1953   516.5
   -67.25    47.75    1954  1000.0
   -67.25    47.75    1955   317.1
   -67.25    47.75    1956   463.8
   -67.25    47.75    1957   465.9
   -67.25    47.75    1958  1000.0
   -67.25    47.75    1959   911.5
   -67.25    47.75    1960   155.4
   -67.25    47.75    1961   793.5
   -67.25    47.75    1962   562.5
   -67.25    47.75    1963   906.5
   -67.25    47.75    1964   938.8
   -67.25    47.75    1965   409.6
   -67.25    47.75    1966   342.9
   -67.25    47.75    1967   473.9
   -67.25    47.75    1968   413.5
   -67.25    47.75    1969  1000.0
   -67.25    47.75    1970   603.1
   -67.25    47.75    1971   420.4
   -67.25    47.75    1972  1000.0
   -67.25    47.75    1973  1000.0
   -67.25    47.75    1974   734.7
   -67.25    47.75    1975  1000.0
   -67.25    47.75    1976   360.8
   -67.25    47.75    1977   375.5
   -67.25    47.75    1978   624.9
   -67.25    47.75    1979   898.0
   -67.25    47.75    1980  1000.0
   -67.25    47.75    1981   951.7
   -67.25    47.75    1982   619.4
   -67.25    47.75    1983   749.3
   -67.25    47.75    1984  1000.0
   -67.25    47.75    1985  1000.0
   -67.25    47.75    1986  1000.0
   -67.25    47.75    1987  1000.0
   -67.25    47.75    1988   507.8
   -67.25    47.75    1989   553.4
   -67.25    47.75    1990   452.4
   -67.25    47.75    1991   392.2
   -67.25    47.75    1992  1000.0
   -67.25    47.75    1993  1000.0
   -67.25    47.75    1994  1000.0
   -67.25    47.75    1995   143.9
   -67.25    47.75    1996   791.0
   -67.25    47.75    1997   863.1
   -67.25    47.75    1998   854.4
   -67.25    47.75    1999   785.9
   -67.25    47.75    2000   910.8
   -67.25    47.75    2001   903.7
   -67.25    47.75    2002   310.1
   -67.25    47.75    2003  1000.0
   -67.25    47.75    2004  1000.0
   -67.25    47.75    2005  1000.0
   -67.25    47.75    2006   979.5
   -67.25    47.75    2007   823.9
   -67.25    47.75    2008   946.8
   -67.25    47.75    2009   622.4
   -67.25    47.75    2010   861.0
   -67.25    47.75    2011  1000.0
   -67.25    47.75    2012   375.7
   -67.25    47.75    2013  1000.0
   -67.25    47.75    2014   851.8
   -73.25    43.75    1901   140.5
   -73.25    43.75    1902   421.8
   -73.25    43.75    1903   120.9
   -73.25    43.75    1904   153.2
   -73.25    43.75    1905   310.0
   -73.25    43.75    1906   137.9
   -73.25    43.75    1907   135.4
   -73.25    43.75    1908    91.6
   -73.25    43.75    1909   316.7
   -73.25    43.75    1910   338.7
   -73.25    43.75    1911   116.8
   -73.25    43.75    1912   123.2
   -73.25    43.75    1913   115.5
   -73.25    43.75    1914   116.4
   -73.25    43.75    1915   116.2
   -73.25    43.75    1916   118.7
   -73.25    43.75    1917   209.2
   -73.25    43.75    1918   297.9
   -73.25    43.75    1919   118.7
   -73.25    43.75    1920   138.1
   -73.25    43.75    1921   115.4
   -73.25    43.75    1922   161.3
   -73.25    43.75    1923   113.0
   -73.25    43.75    1924   124.6
   -73.25    43.75    1925   176.9
   -73.25    43.75    1926   121.4
   -73.25    43.75    1927   115.9
   -73.25    43.75    1928   134.8
   -73.25    43.75    1929   120.3
   -73.25    43.75    1930   129.7
   -73.25    43.75    1931   404.7
   -73.25    43.75    1932   299.5
   -73.25    43.75    1933   118.5
   -73.25    43.75    1934   116.4
   -73.25    43.75    1935   308.5
   -73.25    43.75    1936   118.3
   -73.25    43.75    1937   124.8
   -73.25    43.75    1938   136.8
   -73.25    43.75    1939   122.0
   -73.25    43.75    1940   134.1
   -73.25    43.75    1941   115.9
   -73.25    43.75    1942   118.2
   -73.25    43.75    1943   175.4
   -73.25    43.75    1944   118.3
   -73.25    43.75    1945   119.8
   -73.25    43.75    1946   143.2
   -73.25    43.75    1947   118.3
   -73.25    43.75    1948   123.5
   -73.25    43.75    1949   110.4
   -73.25    43.75    1950   292.7
   -73.25    43.75    1951   354.4
   -73.25    43.75    1952   130.6
   -73.25    43.75    1953   117.4
   -73.25    43.75    1954   202.1
   -73.25    43.75    1955   297.3
   -73.25    43.75    1956   299.0
   -73.25    43.75    1957   121.0
   -73.25    43.75    1958   120.9
   -73.25    43.75    1959   115.5
   -73.25    43.75    1960   118.4
   -73.25    43.75    1961   123.6
   -73.25    43.75    1962   118.6
   -73.25    43.75    1963   111.2
   -73.25    43.75    1964   120.8
   -73.25    43.75    1965   118.3
   -73.25    43.75    1966   155.6
   -73.25    43.75    1967   123.7
   -73.25    43.75    1968   118.8
   -73.25    43.75    1969   196.5
   -73.25    43.75    1970   119.3
   -73.25    43.75    1971   127.2
   -73.25    43.75    1972   250.7
   -73.25    43.75    1973   439.7
   -73.25    43.75    1974   168.7
   -73.25    43.75    1975   117.9
   -73.25    43.75    1976  1000.0
   -73.25    43.75    1977   119.5
   -73.25    43.75    1978   119.9
   -73.25    43.75    1979   122.2
   -73.25    43.75    1980   129.4
   -73.25    43.75    1981   161.1
   -73.25    43.75    1982   120.4
   -73.25    43.75    1983   122.5
   -73.25    43.75    1984   181.4
   -73.25    43.75    1985   121.3
   -73.25    43.75    1986   189.4
   -73.25    43.75    1987   116.9
   -73.25    43.75    1988   112.7
   -73.25    43.75    1989   186.3
   -73.25    43.75    1990   756.7
   -73.25    43.75    1991   118.2
   -73.25    43.75    1992   124.0
   -73.25    43.75    1993   118.8
   -73.25    43.75    1994   135.1
   -73.25    43.75    1995   115.7
   -73.25    43.75    1996   136.2
   -73.25    43.75    1997   133.1
   -73.25    43.75    1998   195.9
   -73.25    43.75    1999   116.3
   -73.25    43.75    2000   209.6
   -73.25    43.75    2001    73.5
   -73.25    43.75    2002   126.0
   -73.25    43.75    2003   126.3
   -73.25    43.75    2004   745.8
   -73.25    43.75    2005   130.5
   -73.25    43.75    2006   671.4
   -73.25    43.75    2007   115.1
   -73.25    43.75    2008   150.0
   -73.25    43.75    2009   609.1
   -73.25    43.75    2010   152.6
   -73.25    43.75    2011   185.4
   -73.25    43.75    2012   126.7
   -73.25    43.75    2013   255.2
   -73.25    43.75    2014   164.1
   -71.25    43.75    1901   939.0
   -71.25    43.75    1902  1000.0
   -71.25    43.75    1903   452.6
   -71.25    43.75    1904   516.4
   -71.25    43.75    1905  1000.0
   -71.25    43.75    1906   680.5
   -71.25    43.75    1907   704.8
   -71.25    43.75    1908   586.9
   -71.25    43.75    1909   352.1
   -71.25    43.75    1910   650.2
   -71.25    43.75    1911   851.6
   -71.25    43.75    1912   611.0
   -71.25    43.75    1913   409.3
   -71.25    43.75    1914   962.8
   -71.25    43.75    1915   749.0
   -71.25    43.75    1916  1000.0
   -71.25    43.75    1917   551.5
   -71.25    43.75    1918   640.7
   -71.25    43.75    1919   306.4
   -71.25    43.75    1920  1000.0
   -71.25    43.75    1921   278.6
   -71.25    43.75    1922  1000.0
   -71.25    43.75    1923   331.6
   -71.25    43.75    1924   374.0
   -71.25    43.75    1925   487.7
   -71.25    43.75    1926   738.1
   -71.25    43.75    1927   303.3
   -71.25    43.75    1928   953.4
   -71.25    43.75    1929   517.7
   -71.25    43.75    1930   715.5
   -71.25    43.75    1931   982.3
   -71.25    43.75    1932   886.3
   -71.25    43.75    1933   167.2
   -71.25    43.75    1934  1000.0
   -71.25    43.75    1935   599.8
   -71.25    43.75    1936   147.3
   -71.25    43.75    1937   616.2
   -71.25    43.75    1938  1000.0
   -71.25    43.75    1939   214.8
   -71.25    43.75    1940   327.5
   -71.25    43.75    1941   439.9
   -71.25    43.75    1942   188.8
   -71.25    43.75    1943  1000.0
   -71.25    43.75    1944   197.3
   -71.25    43.75    1945   498.9
   -71.25    43.75    1946   287.4
   -71.25    43.75    1947   322.5
   -71.25    43.75    1948   312.5
   -71.25    43.75    1949   410.0
   -71.25    43.75    1950   510.8
   -71.25    43.75    1951   952.2
   -71.25    43.75    1952   221.7
   -71.25    43.75    1953   216.1
   -71.25    43.75    1954   962.5
   -71.25    43.75    1955   297.5
   -71.25    43.75    1956   676.8
   -71.25    43.75    1957   372.5
   -71.25    43.75    1958   897.7
   -71.25    43.75    1959   235.6
   -71.25    43.75    1960   277.8
   -71.25    43.75    1961   579.3
   -71.25    43.75    1962   695.0
   -71.25    43.75    1963   546.5
   -71.25    43.75    1964   424.1
   -71.25    43.75    1965   832.5
   -71.25    43.75    1966   916.6
   -71.25    43.75    1967   739.9
   -71.25    43.75    1968   400.5
   -71.25    43.75    1969   958.2
   -71.25    43.75    1970   466.7
   -71.25    43.75    1971   354.2
   -71.25    43.75    1972  1000.0
   -71.25    43.75    1973  1000.0
   -71.25    43.75    1974  1000.0
   -71.25    43.75    1975   669.7
   -71.25    43.75    1976  1000.0
   -71.25    43.75    1977  1000.0
   -71.25    43.75    1978   750.5
   -71.25    43.75    1979   361.8
   -71.25    43.75    1980   544.1
   -71.25    43.75    1981  1000.0
   -71.25    43.75    1982   619.9
   -71.25    43.75    1983   431.9
   -71.25    43.75    1984   549.1
   -71.25    43.75    1985   583.4
   -71.25    43.75    1986  1000.0
   -71.25    43.75    1987   580.1
   -71.25    43.75    1988  1000.0
   -71.25    43.75    1989   293.5
   -71.25    43.75    1990  1000.0
   -71.25    43.75    1991   163.3
   -71.25    43.75    1992   556.7
   -71.25    43.75    1993   457.6
   -71.25    43.75    1994   545.8
   -71.25    43.75    1995   143.8
   -71.25    43.75    1996   194.6
   -71.25    43.75    1997   923.6
   -71.25    43.75    1998   456.7
   -71.25    43.75    1999   201.1
   -71.25    43.75    2000   579.4
   -71.25    43.75    2001   350.8
   -71.25    43.75    2002   363.2
   -71.25    43.75    2003   366.3
   -71.25    43.75    2004  1000.0
   -71.25    43.75    2005  1000.0
   -71.25    43.75    2006  1000.0
   -71.25    43.75    2007   406.1
   -71.25    43.75    2008  1000.0
   -71.25    43.75    2009  1000.0
   -71.25    43.75    2010   936.3
   -71.25    43.75    2011   660.7
   -71.25    43.75    2012   479.3
   -71.25    43.75    2013  1000.0
   -71.25    43.75    2014   327.6
   -73.75    42.75    1901   656.3
   -73.75    42.75    1902   853.8
   -73.75    42.75    1903   163.0
   -73.75    42.75    1904   584.4
   -73.75    42.75    1905  1000.0
   -73.75    42.75    1906   991.0
   -73.75    42.75    1907   137.1
   -73.75    42.75    1908   115.8
   -73.75    42.75    1909   164.5
   -73.75    42.75    1910   555.0
   -73.75    42.75    1911   307.2
   -73.75    42.75    1912   300.3
   -73.75    42.75    1913   116.8
   -73.75    42.75    1914   346.1
   -73.75    42.75    1915   525.0
   -73.75    42.75    1916   179.5
   -73.75    42.75    1917   268.2
   -73.75    42.75    1918   410.6
